geneid	chr	s1	s2
ENSG00000000003	X	99883667	99894988
ENSG00000000419	20	49551404	49575092
ENSG00000000457	1	169818772	169863408
ENSG00000000460	1	169631245	169823221
ENSG00000000938	1	27938575	27961788
ENSG00000000971	1	196621008	196716634
ENSG00000001036	6	143815948	143832827
ENSG00000001084	6	53362139	53481768
ENSG00000001167	6	41040684	41067715
ENSG00000001460	1	24683489	24743424
ENSG00000001461	1	24742284	24799466
ENSG00000001497	X	64732462	64754655
ENSG00000001561	6	46097730	46114436
ENSG00000001617	3	50192478	50226508
ENSG00000001626	7	117105838	117356025
ENSG00000001629	7	91875548	92030698
ENSG00000001630	7	91741465	91772266
ENSG00000001631	7	91828283	91875480
ENSG00000002016	12	1021243	1099219
ENSG00000002079	7	98836417	98908753
ENSG00000002330	11	64037302	64052176
ENSG00000002549	4	17578815	17609595
ENSG00000002586	X	2609220	2659350
ENSG00000002587	4	11394774	11431389
ENSG00000002726	7	150521715	150558592
ENSG00000002822	7	1855429	2272878
ENSG00000002834	17	37026112	37078023
ENSG00000002919	17	46180719	46200436
ENSG00000002933	7	150497491	150502208
ENSG00000003056	12	9092959	9102551
ENSG00000003096	X	117031776	117251303
ENSG00000003137	2	72356367	72375167
ENSG00000003147	7	8152814	8302317
ENSG00000003249	16	90071273	90086536
ENSG00000003393	2	202565277	202645912
ENSG00000003400	2	202047604	202094129
ENSG00000003402	2	201980827	202041410
ENSG00000003436	2	188328957	188430487
ENSG00000003509	2	37458774	37480546
ENSG00000003756	3	50126341	50156454
ENSG00000003987	8	17155539	17271037
ENSG00000003989	8	17354597	17428082
ENSG00000004059	7	127228399	127231759
ENSG00000004139	17	26691378	26728065
ENSG00000004142	17	26673659	26684545
ENSG00000004399	3	129274018	129325661
ENSG00000004455	1	33473585	33546597
ENSG00000004468	4	15779898	15854853
ENSG00000004478	12	2904119	2914576
ENSG00000004487	1	23345941	23410182
ENSG00000004534	3	49977440	50137478
ENSG00000004660	17	3763609	3798185
ENSG00000004700	12	21621845	21654603
ENSG00000004766	7	92861653	92988338
ENSG00000004777	19	36265434	36279724
ENSG00000004779	16	23592323	23607677
ENSG00000004799	7	95212811	95225803
ENSG00000004809	6	110745890	110797844
ENSG00000004838	3	50378541	50384283
ENSG00000004864	7	95749532	95951459
ENSG00000004866	7	116593292	116870157
ENSG00000004897	17	45195069	45266788
ENSG00000004961	X	11129421	11141198
ENSG00000004975	17	7128660	7137864
ENSG00000005001	16	2902728	2908171
ENSG00000005007	19	18942747	18979045
ENSG00000005020	7	26706681	27034858
ENSG00000005022	X	118602363	118605282
ENSG00000005059	4	110481361	110609874
ENSG00000005075	7	102113565	102119354
ENSG00000005100	17	5344232	5372380
ENSG00000005102	17	41717756	41739322
ENSG00000005108	7	11409984	11871824
ENSG00000005156	17	33307513	33332083
ENSG00000005175	12	48057070	48099844
ENSG00000005187	16	20621565	20808903
ENSG00000005189	16	20817751	20860987
ENSG00000005194	16	57462081	57481440
ENSG00000005206	19	2328614	2355099
ENSG00000005238	9	35104109	35116338
ENSG00000005243	17	46103533	46115392
ENSG00000005249	7	106685094	106802256
ENSG00000005302	X	11776278	11793870
ENSG00000005339	16	3775055	3930727
ENSG00000005379	17	56378592	56406152
ENSG00000005436	2	75879126	75938115
ENSG00000005448	2	74648805	74652882
ENSG00000005469	7	86974997	87029111
ENSG00000005471	7	87031013	87109751
ENSG00000005483	7	104654626	104754808
ENSG00000005486	7	75471920	75518244
ENSG00000005700	6	82879700	82957471
ENSG00000005801	11	3360491	3400448
ENSG00000005810	13	77618792	77901185
ENSG00000005812	13	77566740	77601330
ENSG00000005844	16	30483979	30534506
ENSG00000005882	17	48172101	48189516
ENSG00000005884	17	48133332	48167845
ENSG00000005889	X	24167290	24234372
ENSG00000005893	X	119561682	119603220
ENSG00000005955	17	34900737	34946278
ENSG00000006007	16	19513015	19533467
ENSG00000006015	19	18699495	18703146
ENSG00000006016	19	18683030	18718551
ENSG00000006025	17	45884738	45899200
ENSG00000006042	17	31254928	31272124
ENSG00000006047	17	7191571	7197934
ENSG00000006062	17	43340488	43394414
ENSG00000006074	17	34391640	34399392
ENSG00000006075	17	34415602	34417515
ENSG00000006114	17	35874900	35969544
ENSG00000006118	11	60691935	60704631
ENSG00000006125	17	33905065	34053436
ENSG00000006194	16	3313743	3351401
ENSG00000006210	16	57406370	57418960
ENSG00000006282	17	48620419	48633213
ENSG00000006327	16	3068446	3072384
ENSG00000006432	14	71189243	71276251
ENSG00000006451	7	39663082	39747723
ENSG00000006453	7	97920963	98030380
ENSG00000006459	7	139784546	139876835
ENSG00000006468	7	13930853	14031050
ENSG00000006530	7	141250989	141355044
ENSG00000006534	11	67776048	67796744
ENSG00000006555	1	55245385	55266940
ENSG00000006576	7	77428122	77586818
ENSG00000006606	7	75398851	75419214
ENSG00000006607	2	242295658	242434256
ENSG00000006611	11	17515442	17565963
ENSG00000006625	7	30536237	30591095
ENSG00000006634	7	87505531	87538856
ENSG00000006652	7	112063023	112121072
ENSG00000006695	17	13972813	14111994
ENSG00000006704	7	73868120	74016931
ENSG00000006712	19	39876492	39881835
ENSG00000006715	7	38762563	38971994
ENSG00000006740	17	12692856	12894960
ENSG00000006744	17	12895708	12921504
ENSG00000006747	7	12610203	12693228
ENSG00000006756	X	2822011	2847392
ENSG00000006757	X	7866288	7895780
ENSG00000006831	12	1797740	1897844
ENSG00000007038	16	2867164	2876305
ENSG00000007047	19	45582546	45808541
ENSG00000007062	4	15964699	16086001
ENSG00000007080	19	18043825	18054800
ENSG00000007129	19	42055886	42093197
ENSG00000007168	17	2496504	2588909
ENSG00000007171	17	26083792	26127525
ENSG00000007174	17	11501748	11873065
ENSG00000007202	17	26941458	26972472
ENSG00000007216	17	26800311	26824799
ENSG00000007237	17	9813926	10101868
ENSG00000007255	19	45666186	45681495
ENSG00000007264	19	3777971	3802127
ENSG00000007306	19	42177235	42210895
ENSG00000007312	17	62006100	62009714
ENSG00000007341	1	113066140	113163447
ENSG00000007372	11	31806340	31839509
ENSG00000007376	16	834974	838397
ENSG00000007384	16	108058	126354
ENSG00000007392	16	238968	279462
ENSG00000007402	3	50400233	50541675
ENSG00000007516	16	1383602	1399439
ENSG00000007520	16	1399241	1401912
ENSG00000007541	16	616995	634136
ENSG00000007545	16	1662326	1727909
ENSG00000007866	6	35441374	35464853
ENSG00000007923	1	6694228	6761984
ENSG00000007933	1	171060018	171086959
ENSG00000007944	6	16129356	16148479
ENSG00000007952	X	100098313	100129334
